student_id,student_name,age,gender,country,university,program_level,field_of_study,year_of_study,tuition_usd,scholarship,online_classes,campus_facilities_rating,teaching_quality_rating,overall_satisfaction
36,Anthony Morris,19.0,Other,UAE,Holland-Edwards University,Master,Social Sciences,5.0,9897.0,Yes,No,3.0,5.0,Neutral
37,Edward Singh,33.0,Female,Japan,Cox-Sutton University,PhD,Data Science,3.0,22168.0,Yes,Yes,1.0,5.0,Dissatisfied
38,Gina Smith,28.0,Female,Germany,"Evans, Abbott and Phillips University",Bachelor,Medicine,2.0,39671.0,No,No,4.0,5.0,Very Dissatisfied
39,John Parker,24.0,Other,Turkey,Lindsey LLC University,PhD,Social Sciences,3.0,6382.0,No,No,4.0,1.0,Very Dissatisfied
40,Timothy Jackson,24.0,Other,Pakistan,"Smith, Hill and Rivers University",Master,Physics,3.0,22148.0,No,Yes,4.0,1.0,Very Satisfied
41,Stephanie Obrien,28.0,Female,Australia,"Jones, Hardin and Calhoun University",Bachelor,Social Sciences,4.0,29854.0,Yes,Yes,2.0,3.0,Very Dissatisfied
42,Eddie Higgins,27.0,Female,Turkey,"Peterson, Brown and Brown University",Bachelor,Computer Science,1.0,19244.0,No,Yes,3.0,5.0,Satisfied
43,Catherine Stewart,18.0,Other,France,Wiley PLC University,PhD,Social Sciences,2.0,29654.0,Yes,No,1.0,4.0,Neutral
44,James Green,35.0,Female,Malaysia,Watson-Johnson University,Bachelor,Law,2.0,31341.0,No,Yes,4.0,5.0,Dissatisfied
45,Phillip Conner,25.0,Other,Japan,"Kim, Clark and Brewer University",Master,Arts,3.0,21703.0,Yes,Yes,2.0,2.0,Neutral
46,Tony Simpson,33.0,Other,UK,Thompson-Torres University,PhD,Engineering,1.0,3649.0,No,No,5.0,4.0,Very Dissatisfied
47,Steven Schmidt,29.0,Female,USA,Johnson PLC University,PhD,Computer Science,4.0,44231.0,Yes,No,2.0,1.0,Satisfied
48,Elizabeth Hoffman,24.0,Other,Pakistan,Anderson-Tran University,PhD,Social Sciences,4.0,23968.0,No,Yes,5.0,3.0,Very Satisfied
49,Zachary Williams,31.0,Male,Canada,Evans Ltd University,PhD,AI,1.0,35286.0,Yes,Yes,3.0,1.0,Very Satisfied
50,John Keith,27.0,Other,Japan,Moore-Phillips University,Master,Arts,4.0,2170.0,Yes,No,4.0,2.0,Satisfied
51,Walter Randall,29.0,Male,Pakistan,"Duran, Garrett and Moreno University",Master,Data Science,2.0,17027.0,No,No,1.0,4.0,Very Satisfied
52,Kyle Daniels,20.0,Other,Australia,Richards Group University,PhD,Business,4.0,47520.0,Yes,Yes,3.0,2.0,Neutral
53,Regina Riley,29.0,Other,China,"Underwood, Walter and Mitchell University",Bachelor,Computer Science,2.0,34476.0,Yes,No,3.0,3.0,Dissatisfied
54,Jose Hendricks MD,24.0,Other,UAE,"Williams, Parker and Mann University",Bachelor,Law,4.0,25786.0,Yes,No,1.0,2.0,Neutral
55,Austin Dunn,30.0,Female,Germany,Ford Ltd University,PhD,Law,4.0,14076.0,Yes,No,5.0,3.0,Satisfied
56,Ryan Anderson,17.0,Female,UK,"Thompson, Ward and Holden University",Bachelor,Data Science,3.0,6451.0,No,No,3.0,5.0,Very Dissatisfied
57,Scott Johnson,34.0,Male,Japan,Hawkins PLC University,Bachelor,AI,2.0,43228.0,Yes,Yes,4.0,2.0,Satisfied
58,Ronald Roman,35.0,Male,Australia,Hawkins Inc University,Master,Data Science,5.0,28749.0,Yes,No,1.0,2.0,Dissatisfied
59,Joshua Patterson,31.0,Male,Germany,Armstrong PLC University,PhD,Law,1.0,10699.0,Yes,Yes,5.0,2.0,Very Dissatisfied
60,Jordan Bennett,35.0,Female,India,Ashley Inc University,Master,Social Sciences,2.0,13503.0,Yes,Yes,1.0,2.0,Very Dissatisfied
61,Dustin Harrison,34.0,Female,Pakistan,Mckinney Inc University,Master,AI,3.0,29955.0,No,Yes,5.0,1.0,Neutral
62,Aaron Wiggins,21.0,Male,USA,Hendricks-Rosales University,Bachelor,Computer Science,5.0,16044.0,No,Yes,1.0,1.0,Dissatisfied
63,Joanna Peters,35.0,Female,China,"Harris, Hughes and Moore University",Master,Physics,4.0,39443.0,No,No,4.0,1.0,Very Dissatisfied
64,Benjamin Adkins,19.0,Other,India,"Woodward, Hoffman and Sullivan University",Bachelor,Arts,4.0,16945.0,Yes,No,4.0,1.0,Very Satisfied
65,Allison Pearson,30.0,Other,Malaysia,"Noble, Espinoza and Lee University",Bachelor,Law,1.0,30265.0,Yes,No,5.0,2.0,Dissatisfied
66,Lance Wheeler,22.0,Female,Germany,Davis-Moyer University,Master,Data Science,2.0,28573.0,No,Yes,2.0,5.0,Satisfied
67,Emily Figueroa,33.0,Other,UK,"Fitzgerald, Snyder and Cortez University",Bachelor,Engineering,5.0,49374.0,No,No,3.0,2.0,Very Dissatisfied
68,Brandon Black,18.0,Other,China,Harper and Sons University,Bachelor,Law,4.0,15532.0,Yes,Yes,5.0,2.0,Neutral
69,Rachel Pitts,23.0,Female,Malaysia,"Johnson, Smith and Stewart University",Bachelor,Medicine,5.0,9418.0,No,Yes,1.0,5.0,Neutral
70,Theresa Ortega,23.0,Other,India,Hunter Inc University,Bachelor,Data Science,3.0,39425.0,No,No,4.0,3.0,Neutral
71,Edgar Cruz,24.0,Male,USA,Jackson LLC University,PhD,Data Science,4.0,4390.0,No,No,3.0,5.0,Neutral
72,Jeffrey Wolfe,31.0,Male,Netherlands,Griffith LLC University,Master,Physics,,26548.0,Yes,Yes,1.0,1.0,Satisfied
73,John Smith,33.0,Female,Australia,Berry-Burns University,PhD,Physics,2.0,41188.0,Yes,Yes,3.0,3.0,Dissatisfied
74,Nicole Gilbert,31.0,Male,Turkey,Ramos-Santos University,Master,Arts,2.0,33420.0,Yes,No,3.0,3.0,Very Satisfied
75,Alyssa Garcia,20.0,Male,Netherlands,"Thompson, Smith and Casey University",PhD,Business,4.0,7206.0,Yes,No,1.0,3.0,Very Dissatisfied
76,Bryan Hughes,35.0,Other,Pakistan,"Shah, Shepherd and Smith University",Master,Computer Science,5.0,19815.0,Yes,Yes,1.0,3.0,Satisfied
77,Nicholas Francis,33.0,Male,France,Hart-Moore University,Master,Physics,1.0,43985.0,Yes,Yes,1.0,3.0,Very Dissatisfied
78,Brandon Moore,25.0,Male,UAE,Hernandez Group University,Master,Physics,4.0,28304.0,No,Yes,5.0,4.0,Dissatisfied
79,Allison Garrison MD,31.0,Female,Canada,Dawson PLC University,Master,Data Science,1.0,38249.0,Yes,Yes,2.0,3.0,Neutral
80,Ryan Fisher,23.0,Male,Germany,Douglas-Bishop University,Master,Arts,3.0,3543.0,No,No,4.0,4.0,Very Dissatisfied
81,Todd Carlson,32.0,Female,Australia,"Chan, Thompson and Roberts University",Bachelor,Business,3.0,29125.0,No,Yes,1.0,2.0,Very Satisfied
82,Lori Porter,34.0,Female,Netherlands,"Patterson, Wilson and Hansen University",PhD,Physics,1.0,4831.0,Yes,Yes,4.0,1.0,Neutral
83,Michael Noble,31.0,Other,UK,Gross Inc University,PhD,Medicine,3.0,6188.0,No,No,5.0,4.0,Very Satisfied
84,Andrew Edwards,30.0,Other,Turkey,"Cummings, Meadows and Brown University",Bachelor,Business,1.0,21806.0,No,No,2.0,1.0,Very Dissatisfied
85,Daniel Young,32.0,Male,UAE,Cooper-Gross University,Master,Physics,2.0,25488.0,Yes,Yes,4.0,3.0,Dissatisfied
86,Christopher Kim,19.0,Female,Australia,Manning-Martinez University,Master,Data Science,3.0,40091.0,No,No,1.0,3.0,Neutral
87,Deborah Snyder,18.0,Other,Canada,"Webster, Boyd and Price University",Bachelor,Data Science,4.0,42279.0,Yes,No,1.0,2.0,Very Dissatisfied
88,Ashley Hughes,25.0,Female,Japan,Fuentes-Obrien University,PhD,Physics,1.0,16011.0,Yes,Yes,4.0,4.0,Satisfied
89,Jesse Henderson,20.0,Male,Malaysia,"Werner, Lewis and Schroeder University",Master,Law,2.0,26712.0,Yes,Yes,5.0,5.0,Satisfied
90,Monica Moon,27.0,Other,China,Dodson LLC University,Master,Computer Science,1.0,14397.0,No,No,2.0,2.0,Satisfied
91,Nichole Thompson,33.0,Other,Germany,Williams-Scott University,PhD,Engineering,2.0,19798.0,No,No,5.0,5.0,Very Dissatisfied
92,Nina Patterson,19.0,Other,China,Stephens-Cortez University,Bachelor,Data Science,4.0,3180.0,Yes,No,5.0,4.0,Satisfied
93,Renee Pierce,35.0,Male,India,Garcia Group University,PhD,Social Sciences,1.0,2672.0,No,Yes,1.0,2.0,Satisfied
94,Allison Martinez,22.0,Male,Netherlands,Johnson Inc University,PhD,Medicine,2.0,16211.0,No,Yes,5.0,1.0,Neutral
95,Sharon Garcia,26.0,Male,Netherlands,"Taylor, Flores and Smith University",Bachelor,Arts,5.0,5852.0,Yes,No,2.0,5.0,Very Dissatisfied
96,Lauren Perkins,33.0,Male,USA,Wright and Sons University,Bachelor,Computer Science,3.0,37060.0,Yes,No,2.0,3.0,Very Satisfied
97,Joshua Li,20.0,Other,Netherlands,Johnson-Mckinney University,Master,Physics,3.0,20751.0,No,Yes,1.0,4.0,Satisfied
98,Tanya Watson,22.0,Other,Canada,Combs-Fernandez University,Bachelor,Physics,1.0,24783.0,No,Yes,4.0,3.0,Satisfied
99,Chelsea Foster DDS,21.0,Male,USA,Perez-Hall University,Master,Medicine,4.0,41644.0,Yes,No,3.0,2.0,Satisfied
100,Mark Dawson,27.0,Male,Netherlands,Harmon PLC University,Master,Physics,3.0,45000.0,No,Yes,,3.0,Dissatisfied
101,Christine Morgan,34.0,Male,China,Williams LLC University,PhD,Data Science,4.0,44086.0,No,No,1.0,1.0,Very Dissatisfied
102,Paul Bowen,31.0,Other,UAE,Mathews-Cabrera University,Bachelor,Arts,2.0,20356.0,Yes,No,1.0,2.0,Dissatisfied
103,Tammie Barber,28.0,Other,China,Vaughan Ltd University,Bachelor,Law,2.0,38107.0,Yes,No,5.0,1.0,Neutral
104,James Thompson,18.0,Other,France,Mccarthy Group University,PhD,Arts,1.0,11410.0,Yes,Yes,4.0,1.0,Neutral
105,Cynthia Horn,35.0,Male,Turkey,Hamilton-Erickson University,PhD,Engineering,5.0,7627.0,No,No,3.0,1.0,Neutral
106,Amy Black,27.0,Other,UK,King-Smith University,PhD,Law,5.0,12743.0,No,Yes,3.0,1.0,Very Dissatisfied
107,Jonathan Cooper,25.0,Male,USA,Robbins and Sons University,Bachelor,AI,2.0,40726.0,Yes,Yes,4.0,2.0,Dissatisfied
108,Denise Maxwell,32.0,Other,France,"Davis, Mason and Foster University",Bachelor,AI,3.0,22999.0,No,Yes,3.0,5.0,Satisfied
109,Michael Roberts,28.0,Other,UK,Brewer PLC University,Master,Physics,2.0,31885.0,Yes,No,2.0,1.0,Very Dissatisfied
110,Joseph Ross,33.0,Male,Canada,"Little, Bailey and Alvarado University",Bachelor,Arts,2.0,9805.0,No,No,3.0,2.0,Satisfied
111,Cody Hayden,23.0,Other,UK,Villarreal and Sons University,Bachelor,Arts,1.0,31744.0,Yes,Yes,5.0,5.0,Very Satisfied
112,Isabella Kaufman,24.0,Male,Germany,Riley LLC University,Master,Computer Science,4.0,12609.0,Yes,No,1.0,3.0,Satisfied
113,Lisa White,32.0,Other,UK,"Blackwell, Kelly and Porter University",Master,Engineering,1.0,34364.0,Yes,Yes,3.0,4.0,Neutral
114,Joshua Gardner,21.0,Female,Germany,Moran Ltd University,PhD,Physics,3.0,31397.0,No,No,5.0,3.0,Very Satisfied
115,Michelle Mcbride,28.0,Other,Germany,"Johnson, Wallace and Willis University",Bachelor,Law,4.0,48561.0,Yes,Yes,1.0,4.0,Dissatisfied
116,Timothy Turner,21.0,Female,Malaysia,Rodgers-Fox University,Master,AI,3.0,35030.0,Yes,Yes,1.0,5.0,Very Dissatisfied
117,Jennifer Combs,34.0,Male,Turkey,"Howard, Velasquez and Harris University",Master,Engineering,1.0,49051.0,No,Yes,5.0,4.0,Very Dissatisfied
118,Deanna Serrano,21.0,Female,Canada,Smith PLC University,PhD,Medicine,3.0,13331.0,No,Yes,3.0,5.0,Satisfied
119,Susan Nichols,17.0,Male,Malaysia,Jordan-Dougherty University,PhD,Computer Science,2.0,30631.0,Yes,Yes,5.0,4.0,Very Satisfied
120,Phillip Hall,19.0,Male,Malaysia,"Ramos, Gonzalez and Brown University",Bachelor,AI,2.0,35379.0,Yes,Yes,3.0,5.0,Neutral
121,Cheryl Estrada,25.0,Female,Pakistan,Gomez Group University,Master,Law,2.0,41458.0,No,No,1.0,1.0,Very Dissatisfied
122,Michael White,21.0,Male,China,"Reilly, Fitzgerald and Montoya University",PhD,AI,1.0,12381.0,No,No,3.0,2.0,Neutral
123,Paula Tran,18.0,Other,Japan,Oneill-Jones University,Bachelor,Law,2.0,14675.0,Yes,Yes,3.0,5.0,Very Dissatisfied
124,Colleen Smith,17.0,Other,Pakistan,Thomas-Combs University,Master,Arts,3.0,28245.0,No,No,4.0,2.0,Very Dissatisfied
125,Matthew Williams,25.0,Other,Malaysia,Phillips-Simmons University,Bachelor,Business,2.0,49965.0,No,No,3.0,1.0,Neutral
126,Frank Brown,18.0,Other,USA,Harris and Sons University,Master,Computer Science,4.0,2763.0,Yes,Yes,4.0,3.0,Satisfied
127,Rose Thomas,23.0,Male,Australia,Miller PLC University,Master,Social Sciences,2.0,5481.0,Yes,Yes,1.0,1.0,Very Satisfied
128,Christy Brown,22.0,Male,Pakistan,"Meyer, Williams and Smith University",Bachelor,Law,2.0,30180.0,Yes,No,5.0,2.0,Very Dissatisfied
129,Natasha Ramos,27.0,Female,Germany,Garcia-Anderson University,Master,AI,4.0,28177.0,No,No,5.0,1.0,Satisfied
130,Lisa Humphrey,32.0,Other,USA,Davis-Lewis University,Bachelor,Engineering,1.0,13006.0,No,No,4.0,2.0,Very Dissatisfied
131,Kristen Sanchez,35.0,Male,India,"Payne, Brown and Gomez University",Bachelor,Physics,4.0,32538.0,Yes,Yes,4.0,1.0,Very Dissatisfied
132,Debbie Ward,31.0,Female,Netherlands,Carter and Sons University,Master,Data Science,2.0,8537.0,No,No,5.0,3.0,Very Dissatisfied
133,Joseph Rodriguez,25.0,Other,Germany,Nixon-Vega University,PhD,Data Science,4.0,7454.0,No,Yes,4.0,3.0,Very Satisfied
134,Donna Haynes,34.0,Other,Australia,Roberts-Miller University,Bachelor,Social Sciences,2.0,9844.0,Yes,Yes,1.0,1.0,Satisfied
135,Tracy Lawrence,22.0,Male,India,Moore-Clayton University,Bachelor,Social Sciences,5.0,26511.0,No,No,5.0,5.0,Dissatisfied
136,Adam Garza,23.0,Male,USA,Mcgrath-Carr University,Bachelor,Physics,3.0,39698.0,No,No,5.0,4.0,Neutral
137,Cynthia Davidson,27.0,Female,UK,"Rodriguez, Saunders and Mejia University",Bachelor,Law,5.0,44454.0,No,No,3.0,1.0,Very Satisfied
138,Terry Holt,30.0,Other,India,"Garcia, Mcneil and Smith University",PhD,Arts,3.0,2351.0,No,Yes,2.0,3.0,Dissatisfied
139,Richard Allen,34.0,Other,Pakistan,Holt-Yu University,Bachelor,Physics,4.0,16313.0,No,Yes,1.0,1.0,Neutral
140,Tina Mcneil,17.0,Female,Netherlands,Wilson Inc University,Master,Medicine,1.0,32666.0,No,No,4.0,4.0,Neutral
141,James Alexander,24.0,Other,Canada,"Stephens, Neal and Luna University",Master,AI,5.0,34423.0,No,No,3.0,5.0,Satisfied
142,William Mccarty,20.0,Other,USA,Garcia-Peters University,Master,AI,4.0,22393.0,Yes,Yes,1.0,4.0,Very Dissatisfied
143,Nancy Brennan,34.0,Female,India,"Murphy, Wilson and Garcia University",Master,Computer Science,3.0,12305.0,No,No,1.0,3.0,Very Dissatisfied
144,Melissa Lambert,24.0,Female,China,Johnson Inc University,Bachelor,Social Sciences,4.0,42271.0,No,Yes,3.0,3.0,Satisfied
145,Kevin Anderson,23.0,Male,India,Allen Ltd University,Bachelor,Arts,4.0,3791.0,No,Yes,2.0,5.0,Very Satisfied
146,Barbara Martin,25.0,Male,China,Price Group University,Master,Arts,2.0,24102.0,No,Yes,3.0,4.0,Very Dissatisfied
147,Scott Gordon,33.0,Other,China,"Jones, Hampton and Solomon University",PhD,AI,4.0,43041.0,Yes,No,5.0,2.0,Satisfied
148,Daniel Larson,33.0,Male,Malaysia,Walker-Smith University,PhD,Computer Science,5.0,12480.0,Yes,Yes,4.0,1.0,Neutral
149,Alexander Lopez,23.0,Other,China,Alvarez-Hunt University,Bachelor,Social Sciences,2.0,49975.0,No,Yes,1.0,1.0,Dissatisfied
150,Laurie Howard,27.0,Male,India,Newman-Brown University,Master,Computer Science,5.0,11375.0,No,Yes,4.0,4.0,Satisfied
151,Carlos Haney,26.0,Male,Australia,Mahoney-Johnson University,Master,Arts,3.0,11717.0,No,Yes,3.0,4.0,Dissatisfied
152,Javier Gray,30.0,Male,Canada,Lewis-Brown University,Master,Computer Science,3.0,42635.0,Yes,No,4.0,2.0,Dissatisfied
153,Jordan Reed,20.0,Female,India,Jones-Smith University,PhD,Law,1.0,19770.0,No,No,3.0,3.0,Dissatisfied
154,David Gallagher,26.0,Female,USA,Wallace-Winters University,Master,Engineering,3.0,44673.0,No,Yes,3.0,1.0,Dissatisfied
155,Charles Thomas,33.0,Other,Pakistan,Wells-Jones University,Master,Physics,5.0,48850.0,Yes,Yes,5.0,3.0,Satisfied
156,Tracy Wright,27.0,Male,Pakistan,"Estrada, Thomas and Summers University",Bachelor,Engineering,2.0,7521.0,No,No,2.0,2.0,Neutral
157,Drew Sanders,17.0,Other,Canada,"Holmes, Roberts and Hebert University",Master,Physics,2.0,4137.0,No,Yes,1.0,2.0,Dissatisfied
158,Bryan Sherman,22.0,Other,China,Chambers Inc University,Bachelor,Business,1.0,13155.0,No,No,2.0,3.0,Very Satisfied
159,Donna Hall,30.0,Other,UAE,Hudson LLC University,Master,Engineering,2.0,44324.0,Yes,Yes,5.0,5.0,Very Dissatisfied
160,Michael Evans,24.0,Female,Germany,Griffith Group University,Bachelor,Social Sciences,5.0,46291.0,Yes,Yes,1.0,3.0,Very Satisfied
161,Michelle Hernandez,25.0,Male,China,"Moore, Macdonald and Hernandez University",Bachelor,Social Sciences,3.0,13707.0,No,No,3.0,2.0,Satisfied
162,Jonathan Parks,24.0,Male,Malaysia,Black PLC University,Master,Physics,3.0,33495.0,Yes,No,1.0,3.0,Very Satisfied
163,Jessica Vargas,33.0,Male,Canada,Hernandez-Galvan University,PhD,Data Science,4.0,14472.0,Yes,Yes,2.0,4.0,Very Dissatisfied
164,Susan Kaiser,35.0,Other,Japan,Woodard PLC University,Master,Business,1.0,32859.0,Yes,Yes,5.0,4.0,Dissatisfied
165,Jerry Garcia,17.0,Female,China,"Francis, Bowers and Dougherty University",Master,Data Science,1.0,44993.0,Yes,Yes,5.0,1.0,Dissatisfied
166,Raymond Griffin,34.0,Female,UAE,"Harrison, Arnold and Barnett University",Bachelor,Law,2.0,12617.0,Yes,No,5.0,1.0,Satisfied
167,Carolyn Henry,27.0,Other,UK,"Cook, Wallace and Anderson University",Bachelor,Computer Science,4.0,18652.0,No,No,4.0,4.0,Dissatisfied
168,Jennifer Stewart,20.0,Female,Pakistan,"Garrison, Kelly and Merritt University",Bachelor,Arts,2.0,3233.0,Yes,No,3.0,2.0,Very Satisfied
169,Edward Griffith,22.0,Other,Netherlands,"Leon, Zimmerman and Wilson University",Master,AI,3.0,26395.0,No,No,4.0,1.0,Very Satisfied
170,Jerry Walls,28.0,Female,India,Fisher and Sons University,Master,Arts,1.0,42979.0,Yes,Yes,2.0,3.0,Very Dissatisfied
171,Michael Lawrence,35.0,Other,Netherlands,Marshall Group University,Master,Social Sciences,3.0,12379.0,Yes,Yes,2.0,3.0,Dissatisfied
172,Anna Wolfe,30.0,Male,Japan,"Mcpherson, Sherman and Heath University",Bachelor,Arts,3.0,22236.0,Yes,No,5.0,4.0,Satisfied
173,Bradley Bush,30.0,Other,Germany,Davis Inc University,PhD,Law,5.0,42100.0,No,No,3.0,1.0,Neutral
174,Jaclyn Marshall,18.0,Female,Netherlands,"Rodgers, Osborne and Bowman University",Master,Medicine,1.0,38918.0,No,No,1.0,3.0,Very Dissatisfied
175,Michelle Webb,24.0,Male,Australia,Lane PLC University,Master,Social Sciences,1.0,11232.0,Yes,No,1.0,2.0,Very Dissatisfied
176,Elizabeth Collins,21.0,Other,Pakistan,"Campbell, Porter and Lewis University",PhD,Business,2.0,3072.0,No,Yes,5.0,5.0,Satisfied
177,William Anderson,21.0,Other,Australia,Alexander and Sons University,Master,Business,4.0,18489.0,No,No,2.0,5.0,Very Satisfied
178,Lee Scott,21.0,Other,Malaysia,"Stone, Gomez and Nelson University",Master,Medicine,3.0,4598.0,Yes,Yes,1.0,1.0,Neutral
179,Melissa Henderson,27.0,Other,Japan,Martinez Inc University,PhD,Business,3.0,42523.0,Yes,No,1.0,3.0,Neutral
180,Christopher Palmer,17.0,Male,Netherlands,Watson-Campbell University,Master,Arts,2.0,5380.0,No,No,1.0,1.0,Dissatisfied
181,John Hernandez,23.0,Female,Netherlands,Caldwell and Sons University,Master,AI,4.0,39345.0,Yes,No,2.0,1.0,Very Dissatisfied
182,Mary Baker,24.0,Other,UK,"Bryan, Case and Williams University",PhD,Computer Science,4.0,28736.0,Yes,Yes,4.0,4.0,Dissatisfied
183,John Donovan,32.0,Other,Australia,Smith-King University,PhD,Law,3.0,11828.0,Yes,Yes,5.0,1.0,Dissatisfied
184,Edward Simon,17.0,Female,UAE,Peters-Campbell University,PhD,Medicine,2.0,20782.0,No,No,1.0,3.0,Very Dissatisfied
185,Cassidy Russell,27.0,Female,Netherlands,Carter-Walsh University,Bachelor,Physics,3.0,2008.0,No,No,1.0,3.0,Very Satisfied
186,Lori Frye,22.0,Female,Malaysia,Robinson-Carpenter University,Master,Social Sciences,2.0,12611.0,No,No,1.0,2.0,Very Satisfied
187,Katherine Vang,26.0,Female,Germany,Fuentes-Sandoval University,Bachelor,Computer Science,1.0,16955.0,No,Yes,5.0,3.0,Satisfied
188,Joseph Duncan MD,17.0,Other,Canada,Gutierrez LLC University,Bachelor,Law,1.0,6316.0,No,No,3.0,3.0,Dissatisfied
189,James Gallagher,34.0,Female,Canada,"Cook, Walton and Butler University",Master,Computer Science,5.0,35277.0,No,Yes,2.0,5.0,Dissatisfied
190,Brad Vargas,31.0,Other,UK,Bentley Group University,PhD,Physics,2.0,12767.0,No,No,1.0,1.0,Neutral
191,Robert Robinson,20.0,Male,France,"Bell, Jackson and Morse University",PhD,Physics,4.0,21686.0,Yes,No,2.0,3.0,Very Dissatisfied
